County,Population,Year
Bronx,1392002,2011
Kings,2532645,2011
New York,1601948,2011
Queens,2247848,2011
Richmond,470467,2011
Albany,303565,2011
Allegany,48778,2011
Broome,199031,2011
Cattaraugus,79832,2011
Cayuga,79738,2011
Chautauqua,134368,2011
Chemung,88840,2011
Chenango,50118,2011
Clinton,81945,2011
Columbia,62550,2011
Cortland,49363,2011
Delaware,47559,2011
Dutchess,297999,2011
Erie,918028,2011
Essex,39181,2011
Franklin,51551,2011
Fulton,55180,2011
Genesee,59993,2011
Greene,48954,2011
Hamilton,4793,2011
Herkimer,64160,2011
Jefferson,117910,2011
Lewis,27072,2011
Livingston,65070,2011
Madison,73365,2011
Monroe,745625,2011
Montgomery,49916,2011
Nassau,1344436,2011
Niagara,216011,2011
Oneida,234287,2011
Onondaga,466960,2011
Ontario,108525,2011
Orange,374872,2011
Orleans,42622,2011
Oswego,122228,2011
Otsego,61917,2011
Putnam,99933,2011
Rensselaer,159395,2011
Rockland,315158,2011
St Lawrence,111690,2011
Saratoga,220882,2011
Schenectady,155058,2011
Schoharie,32578,2011
Schuyler,18361,2011
Seneca,35198,2011
Steuben,99033,2011
Suffolk,1498816,2011
Sullivan,76900,2011
Tioga,51043,2011
Tompkins,101723,2011
Ulster,182448,2011
Warren,65831,2011
Washington,63165,2011
Wayne,93436,2011
Westchester,955899,2011
Wyoming,41944,2011
Yates,25454,2011
Bronx,1408473,2012
Kings,2565635,2012
New York,1619090,2012
Queens,2272771,2012
Richmond,470728,2012
Albany,305455,2012
Allegany,48357,2012
Broome,198060,2012
Cattaraugus,79458,2012
Cayuga,79552,2012
Chautauqua,133539,2012
Chemung,88911,2012
Chenango,49933,2012
Clinton,81654,2012
Columbia,62499,2012
Cortland,49474,2012
Delaware,47276,2012
Dutchess,297322,2012
Erie,919086,2012
Essex,38961,2012
Franklin,51795,2012
Fulton,54925,2012
Genesee,59977,2012
Greene,48673,2012
Hamilton,4778,2012
Herkimer,64508,2012
Jefferson,120262,2012
Lewis,27224,2012
Livingston,64810,2012
Madison,72382,2012
Monroe,747813,2012
Montgomery,49941,2012
Nassau,1349233,2012
Niagara,215124,2012
Oneida,233556,2012
Onondaga,466852,2012
Ontario,108519,2012
Orange,374512,2012
Orleans,42836,2012
Oswego,121700,2012
Otsego,61709,2012
Putnam,99607,2012
Rensselaer,159835,2012
Rockland,317757,2012
St Lawrence,112232,2012
Saratoga,222133,2012
Schenectady,155124,2012
Schoharie,32099,2012
Schuyler,18514,2012
Seneca,35305,2012
Steuben,99063,2012
Suffolk,1499273,2012
Sullivan,76793,2012
Tioga,50478,2012
Tompkins,102554,2012
Ulster,181791,2012
Warren,65538,2012
Washington,62934,2012
Wayne,92962,2012
Westchester,961670,2012
Wyoming,41892,2012
Yates,25344,2012
Bronx,1418733,2013
Kings,2592149,2013
New York,1626159,2013
Queens,2296175,2013
Richmond,472621,2013
Albany,306945,2013
Allegany,48109,2013
Broome,197534,2013
Cattaraugus,78892,2013
Cayuga,79477,2013
Chautauqua,133080,2013
Chemung,88506,2013
Chenango,49503,2013
Clinton,81591,2013
Columbia,62243,2013
Cortland,48976,2013
Delaware,46722,2013
Dutchess,296916,2013
Erie,919866,2013
Essex,38762,2013
Franklin,51688,2013
Fulton,54586,2013
Genesee,59454,2013
Greene,48455,2013
Hamilton,4773,2013
Herkimer,64181,2013
Jefferson,119504,2013
Lewis,27149,2013
Livingston,64705,2013
Madison,72382,2013
Monroe,749606,2013
Montgomery,49897,2013
Nassau,1352146,2013
Niagara,214249,2013
Oneida,233585,2013
Onondaga,468387,2013
Ontario,109103,2013
Orange,375592,2013
Orleans,42235,2013
Oswego,121165,2013
Otsego,61683,2013
Putnam,99645,2013
Rensselaer,159918,2013
Rockland,320903,2013
St Lawrence,111963,2013
Saratoga,223865,2013
Schenectady,155333,2013
Schoharie,31844,2013
Schuyler,18460,2013
Seneca,35409,2013
Steuben,98650,2013
Suffolk,1499738,2013
Sullivan,76665,2013
Tioga,50243,2013
Tompkins,103617,2013
Ulster,180998,2013
Warren,65337,2013
Washington,63093,2013
Wayne,92473,2013
Westchester,968802,2013
Wyoming,41531,2013
Yates,25156,2013
Bronx,1438159,2014
Kings,2621793,2014
New York,1636268,2014
Queens,2321580,2014
Richmond,473279,2014
Albany,308171,2014
Allegany,47736,2014
Broome,197349,2014
Cattaraugus,78600,2014
Cayuga,78823,2014
Chautauqua,132053,2014
Chemung,87770,2014
Chenango,49426,2014
Clinton,81632,2014
Columbia,62122,2014
Cortland,49024,2014
Delaware,46581,2014
Dutchess,296579,2014
Erie,922835,2014
Essex,38679,2014
Franklin,51262,2014
Fulton,54105,2014
Genesee,59162,2014
Greene,47967,2014
